2014-07-09T15:51:34.781+0200: 2.393: [GC [PSYoungGen: 11260K->1376K(13824K)] 19547K->9663K(30208K), 0.0013418 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:34.829+0200: 2.441: [GC [PSYoungGen: 12626K->2529K(13824K)] 20912K->12712K(30208K), 0.0057168 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.835+0200: 2.447: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 10183K->4637K(16384K)] 12712K->4637K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0172992 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:34.879+0200: 2.491: [GC [PSYoungGen: 11249K->2529K(13824K)] 15887K->12097K(30208K), 0.0061564 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.886+0200: 2.498: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 9568K->7679K(16384K)] 12097K->7679K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0137569 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.927+0200: 2.539: [GC [PSYoungGen: 11251K->2305K(13824K)] 18930K->9984K(30208K), 0.0013169 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:34.980+0200: 2.592: [GC [PSYoungGen: 13554K->2529K(13824K)] 21234K->13034K(30208K), 0.0083778 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:34.988+0200: 2.600: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 10504K->5566K(16384K)] 13034K->5566K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0185916 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:35.012+0200: 2.624: [GC [PSYoungGen: 11259K->192K(13824K)] 16826K->5758K(30208K), 0.0008128 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:35.077+0200: 2.689: [GC [PSYoungGen: 11442K->1696K(13824K)] 17008K->7271K(30208K), 0.0093240 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:35.091+0200: 2.703: [GC [PSYoungGen: 12946K->2529K(13824K)] 18520K->10320K(30208K), 0.0044956 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:35.130+0200: 2.742: [GC [PSYoungGen: 13778K->2529K(13824K)] 21570K->15555K(30208K), 0.0078608 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:35.138+0200: 2.750: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 13026K->8000K(16384K)] 15555K->8000K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0257752 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2014-07-09T15:51:35.181+0200: 2.793: [GC [PSYoungGen: 11251K->2529K(13824K)] 19252K->10593K(30208K), 0.0031163 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:35.229+0200: 2.841: [GC [PSYoungGen: 13778K->2529K(13824K)] 21843K->13707K(30208K), 0.0061333 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:35.235+0200: 2.847: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 11178K->5887K(16384K)] 13707K->5887K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0271200 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2014-07-09T15:51:35.280+0200: 2.892: [GC [PSYoungGen: 11254K->2529K(13824K)] 17142K->13539K(30208K), 0.0160318 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:35.296+0200: 2.908: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 11010K->7905K(16384K)] 13539K->7905K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0125049 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:35.327+0200: 2.939: [GC [PSYoungGen: 11251K->2497K(13824K)] 19156K->10402K(30208K), 0.0055866 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:35.378+0200: 2.990: [GC [PSYoungGen: 13746K->2529K(13824K)] 21651K->13451K(30208K), 0.0147644 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:35.393+0200: 3.005: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 10922K->5792K(16384K)] 13451K->5792K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0092617 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:35.427+0200: 3.039: [GC [PSYoungGen: 11251K->384K(13824K)] 17043K->6176K(30208K), 0.0350754 secs] [Times: user=0.00 sys=0.00, real=0.03 secs] 
2014-07-09T15:51:35.477+0200: 3.089: [GC [PSYoungGen: 11633K->2529K(13824K)] 17425K->9257K(30208K), 0.0018680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:35.485+0200: 3.097: [GC [PSYoungGen: 13763K->2529K(13824K)] 20491K->12051K(30208K), 0.0043771 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:35.529+0200: 3.141: [GC [PSYoungGen: 13784K->2529K(13824K)] 23306K->16861K(30208K), 0.0061736 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:35.535+0200: 3.147: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 14332K->7555K(16384K)] 16861K->7555K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0103179 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
2014-07-09T15:51:35.580+0200: 3.192: [GC [PSYoungGen: 11251K->2177K(13824K)] 18806K->9732K(30208K), 0.0016593 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:35.628+0200: 3.240: [GC [PSYoungGen: 13426K->2529K(13824K)] 20981K->12781K(30208K), 0.0042173 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:35.632+0200: 3.244: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 10252K->5442K(16384K)] 12781K->5442K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0093354 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:35.680+0200: 3.292: [GC [PSYoungGen: 11249K->64K(13824K)] 16691K->5506K(30208K), 0.0007545 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:35.729+0200: 3.341: [GC [PSYoungGen: 11316K->2080K(13824K)] 16759K->7531K(30208K), 0.0021671 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:35.779+0200: 3.391: [GC [PSYoungGen: 13330K->2529K(13824K)] 18780K->10580K(30208K), 0.0072838 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:35.799+0200: 3.411: [GC [PSYoungGen: 13778K->2529K(13824K)] 21830K->16223K(30208K), 0.0087854 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:35.807+0200: 3.419: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 13694K->8388K(16384K)] 16223K->8388K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0130332 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:35.879+0200: 3.491: [GC [PSYoungGen: 11251K->2529K(13824K)] 19639K->11397K(30208K), 0.0030837 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:35.893+0200: 3.505: [GC [PSYoungGen: 13778K->2529K(13824K)] 22647K->14927K(30208K), 0.0081952 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:35.901+0200: 3.513: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 12398K->6275K(16384K)] 14927K->6275K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0258566 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2014-07-09T15:51:35.977+0200: 3.589: [GC [PSYoungGen: 11251K->864K(13824K)] 17526K->7139K(30208K), 0.0179434 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:36.001+0200: 3.613: [GC [PSYoungGen: 12113K->2529K(13824K)] 18389K->10189K(30208K), 0.0040813 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:36.031+0200: 3.643: [GC [PSYoungGen: 13789K->2529K(13824K)] 21449K->13110K(30208K), 0.0035288 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:36.034+0200: 3.646: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 10581K->5668K(16384K)] 13110K->5668K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0094358 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:36.081+0200: 3.693: [GC [PSYoungGen: 11251K->288K(13824K)] 16919K->5956K(30208K), 0.0006277 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:36.128+0200: 3.740: [GC [PSYoungGen: 11537K->2529K(13824K)] 17205K->9005K(30208K), 0.0019193 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:36.180+0200: 3.792: [GC [PSYoungGen: 13778K->2529K(13824K)] 20255K->12855K(30208K), 0.0096705 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:51:36.190+0200: 3.802: [Full GC [PSYoungGen: 2529K->0K(13824K)] [ParOldGen: 10326K->6596K(16384K)] 12855K->6596K(30208K) [PSPermGen: 2474K->2474K(21504K)], 0.0204907 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:51:36.227+0200: 3.839: [GC [PSYoungGen: 11249K->1216K(13824K)] 17845K->7813K(30208K), 0.0006922 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:51:36.278+0200: 3.890: [GC [PSYoungGen: 12477K->2529K(13824K)] 19073K->9325K(30208K), 0.0014155 secs] [Times: user=0.00 sys=0.02, real=0.00 secs] 
