2014-07-09T15:58:16.838+0200: 10.749: [GC [PSYoungGen: 27587K->4162K(27648K)] 39014K->15596K(60416K), 0.0049066 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:16.937+0200: 10.847: [GC [PSYoungGen: 26658K->2048K(27648K)] 38093K->13491K(60416K), 0.0021778 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:16.999+0200: 10.909: [GC [PSYoungGen: 24553K->5090K(27648K)] 35996K->18526K(60416K), 0.0178088 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2014-07-09T15:58:17.091+0200: 11.001: [GC [PSYoungGen: 27589K->4994K(27648K)] 41025K->18438K(60416K), 0.0038591 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:17.190+0200: 11.100: [GC [PSYoungGen: 27493K->2881K(27648K)] 40937K->16333K(60416K), 0.0023765 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:17.290+0200: 11.200: [GC [PSYoungGen: 25397K->5090K(27648K)] 38849K->20759K(60416K), 0.0094608 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:17.388+0200: 11.298: [GC [PSYoungGen: 27589K->5090K(27648K)] 43258K->20863K(60416K), 0.0063822 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:17.487+0200: 11.398: [GC [PSYoungGen: 27598K->1536K(27648K)] 43371K->17317K(60416K), 0.0021814 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:17.540+0200: 11.450: [GC [PSYoungGen: 24035K->5090K(27648K)] 39816K->23408K(60416K), 0.0099264 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:17.637+0200: 11.547: [GC [PSYoungGen: 27589K->5090K(27648K)] 45907K->23832K(60416K), 0.0042023 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:17.737+0200: 11.647: [GC [PSYoungGen: 27598K->1856K(27648K)] 46341K->20607K(60416K), 0.0023358 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:17.798+0200: 11.708: [GC [PSYoungGen: 24355K->5090K(27648K)] 43106K->26698K(60416K), 0.0120997 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:17.896+0200: 11.806: [GC [PSYoungGen: 27589K->5090K(27648K)] 49197K->27442K(60416K), 0.0078080 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:17.993+0200: 11.903: [GC [PSYoungGen: 27594K->2689K(27648K)] 49947K->25049K(60416K), 0.0040648 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:18.093+0200: 12.003: [GC [PSYoungGen: 25188K->544K(27648K)] 47548K->22912K(60416K), 0.0031750 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2014-07-09T15:58:18.188+0200: 12.098: [GC [PSYoungGen: 23043K->5090K(27648K)] 45411K->29035K(60416K), 0.0050726 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-09T15:58:18.287+0200: 12.197: [GC [PSYoungGen: 27612K->2369K(27648K)] 51557K->26322K(60416K), 0.0016187 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
