Java HotSpot(TM) 64-Bit Server VM (25.5-b02) for windows-amd64 JRE (1.8.0_05-b13), built on Mar 18 2014 01:08:39 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8376184k(4965800k free), swap 16750504k(12232096k free)
CommandLine flags: -XX:InitialHeapSize=134018944 -XX:LogFile=jvm.log -XX:MaxHeapSize=536870912 -XX:MaxNewSize=174485504 -XX:MaxTenuringThreshold=6 -XX:OldPLABSize=16 -XX:+PrintFlagsFinal -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UnlockDiagnosticVMOptions -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2014-07-10T12:34:14.890+0200: 0.387: [GC (Allocation Failure) 0.387: [ParNew: 1090K->96K(1152K), 0.0035269 secs] 68598K->68596K(130944K), 0.0036131 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.894+0200: 0.391: [GC (Allocation Failure) 0.391: [ParNew: 1090K->96K(1152K), 0.0014731 secs] 69591K->69589K(130944K), 0.0015376 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.896+0200: 0.393: [GC (Allocation Failure) 0.393: [ParNew: 1090K->96K(1152K), 0.0010702 secs] 70583K->70581K(130944K), 0.0011197 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.897+0200: 0.395: [GC (Allocation Failure) 0.395: [ParNew: 1090K->96K(1152K), 0.0009749 secs] 71576K->71574K(130944K), 0.0010236 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.898+0200: 0.396: [GC (Allocation Failure) 0.396: [ParNew: 1090K->96K(1152K), 0.0012110 secs] 72568K->72566K(130944K), 0.0014350 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.900+0200: 0.398: [GC (Allocation Failure) 0.398: [ParNew: 1090K->96K(1152K), 0.0011384 secs] 73560K->73558K(130944K), 0.0011853 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.902+0200: 0.399: [GC (Allocation Failure) 0.399: [ParNew: 1090K->96K(1152K), 0.0009910 secs] 74553K->74551K(130944K), 0.0010343 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.903+0200: 0.400: [GC (Allocation Failure) 0.400: [ParNew: 1090K->96K(1152K), 0.0012227 secs] 75545K->75543K(130944K), 0.0012755 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.904+0200: 0.402: [GC (CMS Final Remark) [YG occupancy: 226 K (1152 K)]0.402: [Rescan (parallel) , 0.0002764 secs]0.402: [weak refs processing, 0.0000297 secs]0.402: [class unloading, 0.0004605 secs]0.403: [scrub symbol table, 0.0005532 secs]0.403: [scrub string table, 0.0001565 secs][1 CMS-remark: 75447K(129792K)] 75674K(130944K), 0.0015853 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.906+0200: 0.404: [CMS-concurrent-sweep-start]
2014-07-10T12:34:14.907+0200: 0.404: [GC (Allocation Failure) 0.404: [ParNew: 1111K->98K(1152K), 0.0010185 secs] 76559K->76538K(130944K), 0.0010694 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.908+0200: 0.405: [GC (Allocation Failure) 0.405: [ParNew: 1092K->96K(1152K), 0.0008374 secs] 77052K->77048K(130944K), 0.0008821 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.909+0200: 0.406: [GC (Allocation Failure) 0.406: [ParNew: 1090K->96K(1152K), 0.0007432 secs] 64275K->64273K(130944K), 0.0007864 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.910+0200: 0.407: [GC (Allocation Failure) 0.407: [ParNew: 1090K->96K(1152K), 0.0007377 secs] 42376K->42374K(130944K), 0.0007791 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.911+0200: 0.408: [GC (Allocation Failure) 0.408: [ParNew: 1090K->96K(1152K), 0.0007622 secs] 22335K->22333K(130944K), 0.0008029 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.912+0200: 0.409: [CMS-concurrent-sweep: 0.001/0.006 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2014-07-10T12:34:14.912+0200: 0.410: [GC (Allocation Failure) 0.410: [ParNew: 1090K->96K(1152K), 0.0007432 secs] 16604K->16602K(130944K), 0.0007835 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.913+0200: 0.410: [CMS-concurrent-reset-start]
2014-07-10T12:34:14.913+0200: 0.411: [GC (Allocation Failure) 0.411: [ParNew: 1090K->96K(1152K), 0.0008146 secs] 17596K->17594K(130944K), 0.0008649 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.914+0200: 0.412: [GC (Allocation Failure) 0.412: [ParNew: 1090K->96K(1152K), 0.0007736 secs] 18589K->18587K(130944K), 0.0008333 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.916+0200: 0.413: [GC (Allocation Failure) 0.413: [ParNew: 1090K->96K(1152K), 0.0008729 secs] 19581K->19579K(130944K), 0.0009144 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2014-07-10T12:34:14.917+0200: 0.414: [GC (Allocation Failure) 0.414: [ParNew: 1090K->96K(1152K), 0.0007677 secs] 20574K->20572K(130944K), 0.0008106 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
